title,budget,worldwidegross,datecopy,date2,rate1,year,month,yearMean,logYearMeanRate
The Birth of a Nation,110000,11000000,8-Feb-15,8-Feb-15,100,1915,2,100,4.6051702
"20,000 Leagues Under the Sea",200000,8000000,24-Dec-16,24-Dec-16,40,1916,12,40,3.6888795
Over the Hill to the Poorhouse,100000,3000000,17-Sep-20,17-Sep-20,30,1920,9,30,3.4011974
Ben-Hur,3900000,9000000,30-Dec-25,30-Dec-25,2.3076923,1925,12,46.051807,3.829767
The Big Parade,245000,22000000,1-Jan-25,1-Jan-25,89.795921,1925,1,46.051807,3.829767
The Broadway Melody,379000,4358000,1-Feb-29,1-Feb-29,11.498681,1929,2,11.498681,2.4422324
Mata Hari,558000,900000,31-Dec-31,31-Dec-31,1.6129032,1931,12,1.6129032,0.47803581
King Kong,672000,10000649,7-Apr-33,7-Apr-33,14.881918,1933,4,10.025939,2.3051755
42nd Street,439000,2281000,9-Mar-33,9-Mar-33,5.1959,1933,3,10.025939,2.3051755
She Done Him Wrong,200000,2000000,9-Feb-33,9-Feb-33,10,1933,2,10.025939,2.3051755
It Happened One Night,325000,2500000,1-Jan-34,1-Jan-34,7.6923075,1934,1,7.6923075,2.0402207
Top Hat,609000,3202000,6-Sep-35,6-Sep-35,5.2577996,1935,9,5.2577996,1.6597127
San Francisco,1300000,5273000,26-Jun-36,26-Jun-36,4.0561538,1936,6,2.0824919,0.73356521
Modern Times,1500000,163245,5-Feb-36,5-Feb-36,0.10883,1936,2,2.0824919,0.73356521
Snow White and the Seven Dwarfs,1488000,184925485,21-Dec-37,21-Dec-37,124.27788,1937,12,124.27788,4.8225198
You Can't Take It With You,1644000,4000000,1-Jan-38,1-Jan-38,2.43309,1938,1,2.2165451,0.7959497
Alexander's Ragtime Band,2000000,4000000,1-Jan-38,1-Jan-38,2,1938,1,2.2165451,0.7959497
Gone with the Wind,3900000,390525192,15-Dec-39,15-Dec-39,100.13467,1939,12,39.424744,3.6743937
The Wizard of Oz,2777000,33711566,25-Aug-39,25-Aug-39,12.139563,1939,8,39.424744,3.6743937
Mr. Smith Goes To Washington,1500000,9000000,1-Jan-39,1-Jan-39,6,1939,1,39.424744,3.6743937
Fantasia,2280000,83320000,13-Nov-40,13-Nov-40,36.543861,1940,11,15.262749,2.7254152
Boom Town,2000000,9172000,1-Jan-40,1-Jan-40,4.586,1940,1,15.262749,2.7254152
Rebecca,1288000,6000000,1-Jan-40,1-Jan-40,4.6583853,1940,1,15.262749,2.7254152
A Guy Named Joe,2627000,5363000,24-Dec-43,24-Dec-43,2.0414922,1943,12,6.0556355,1.8009893
Casablanca,1039000,10462500,23-Jan-43,23-Jan-43,10.069778,1943,1,6.0556355,1.8009893
Wilson,5200000,2000000,1-Aug-44,1-Aug-44,0.38461539,1944,8,0.93351907,-0.068793893
Bathing Beauty,2361000,3500000,1-Jan-44,1-Jan-44,1.4824227,1944,1,0.93351907,-0.068793893
Spellbound,1500000,7000000,31-Oct-45,31-Oct-45,4.6666665,1945,10,5.8981481,1.7746384
The Lost Weekend,1250000,11000000,1-Jan-45,1-Jan-45,8.8000002,1945,1,5.8981481,1.7746384
The Valley of Decision,2160000,9132000,1-Jan-45,1-Jan-45,4.227778,1945,1,5.8981481,1.7746384
Duel in the Sun,6000000,20400000,31-Dec-46,31-Dec-46,3.4000001,1946,12,7.4758024,2.0116715
The Best Years of Our Lives,2100000,23600000,21-Nov-46,21-Nov-46,11.238095,1946,11,7.4758024,2.0116715
Notorious,2000000,24464742,1-Jan-46,1-Jan-46,12.232371,1946,1,7.4758024,2.0116715
It's a Wonderful Life,3180000,9644124,1-Jan-46,1-Jan-46,3.0327435,1946,1,7.4758024,2.0116715
Gentleman's Agreement,2000000,7800000,1-Jan-47,1-Jan-47,3.9000001,1947,1,3.9000001,1.3609766
